Rank,Year,Movie,Worldwide,Domestic,International
225,2005,Mr. and Mrs. Smith,"$486,124,090 ","$186,336,279 ","$299,787,811 "
226,1998,Saving Private Ryan,"$485,035,085 ","$216,335,085 ","$268,700,000 "
227,2014,Teenage Mutant Ninja Turtles,"$485,004,754 ","$191,204,754 ","$293,800,000 "
228,2012,Les Intouchables,"$484,873,045 ","$13,182,281 ","$471,690,764 "
229,2003,Bruce Almighty,"$484,468,608 ","$242,704,995 ","$241,763,613 "
230,2004,Troy,"$483,152,040 ","$133,298,577 ","$349,853,463 "
231,1990,Home Alone,"$476,684,675 ","$285,761,243 ","$190,923,432 "
232,2005,Charlie and the Chocolate Factory,"$475,825,484 ","$206,459,076 ","$269,366,408 "
233,1983,Star Wars Ep. VI: Return of the Jedi,"$475,106,177 ","$309,205,079 ","$165,901,098 "
234,1989,Indiana Jones and the Last Crusade,"$474,171,806 ","$197,171,806 ","$277,000,000 "
235,2011,Rise of the Planet of the Apes,"$470,986,200 ","$176,760,185 ","$294,226,015 "
236,1975,Jaws,"$470,700,000 ","$260,000,000 ","$210,700,000 "
237,2019,It: Chapter Two,"$469,566,806 ","$211,593,228 ","$257,973,578 "
238,2015,Hotel Transylvania 2,"$469,500,298 ","$169,700,110 ","$299,800,188 "
239,2014,The Lego Movie,"$468,084,718 ","$257,784,718 ","$210,300,000 "
240,2013,Star Trek Into Darkness,"$467,381,584 ","$228,778,661 ","$238,602,923 "
241,2009,The Hangover,"$465,487,583 ","$277,322,503 ","$188,165,080 "
242,2019,Wo he wo de zu guo,"$465,418,019 ","$2,323,409 ","$463,094,610 "
243,1999,The Matrix,"$465,377,200 ","$173,396,389 ","$291,980,811 "
244,2018,Bumblebee,"$465,195,589 ","$127,195,589 ","$338,000,000 "
245,2020,Ba bai,"$462,760,324 ",,"$462,760,324 "
246,2006,Cars,"$461,630,558 ","$244,082,982 ","$217,547,576 "
247,2006,X-Men: The Last Stand,"$459,260,946 ","$234,362,462 ","$224,898,484 "
248,1996,Mission: Impossible,"$457,697,994 ","$180,981,886 ","$276,716,108 "
249,2000,Gladiator,"$457,683,805 ","$187,683,805 ","$270,000,000 "
250,2014,Lucy,"$457,507,776 ","$126,573,960 ","$330,933,816 "
251,2007,National Treasure: Book of Secrets,"$457,325,804 ","$219,961,501 ","$237,364,303 "
252,2003,The Last Samurai,"$456,810,575 ","$111,110,575 ","$345,700,000 "
253,2015,San Andreas,"$456,258,539 ","$155,190,832 ","$301,067,707 "
254,2007,300,"$454,161,935 ","$210,614,939 ","$243,546,996 "
255,2018,Wo Bi Shi Yao Shen,"$451,183,392 ","$6,752 ","$451,176,640 "
256,2001,Ocean's Eleven,"$450,728,529 ","$183,417,150 ","$267,311,379 "
257,2012,Django Unchained,"$449,841,566 ","$162,805,434 ","$287,036,132 "
258,2011,Thor,"$449,326,618 ","$181,030,624 ","$268,295,994 "
259,2001,Pearl Harbor,"$449,239,853 ","$198,539,855 ","$250,699,998 "
260,1999,Tarzan,"$448,191,819 ","$171,091,819 ","$277,100,000 "
261,2007,The Bourne Ultimatum,"$444,043,396 ","$227,471,070 ","$216,572,326 "
262,2016,La La Land,"$444,005,852 ","$151,101,803 ","$292,904,049 "
263,2009,Alvin and the Chipmunks: The Squeakquel,"$443,483,213 ","$219,614,612 ","$223,868,601 "
264,2002,Men in Black 2,"$441,767,803 ","$190,418,803 ","$251,349,000 "
265,1993,Mrs. Doubtfire,"$441,286,003 ","$219,195,051 ","$222,090,952 "
266,2016,Warcraft,"$438,899,824 ","$47,365,290 ","$391,534,534 "
267,1991,Beauty and the Beast,"$438,656,843 ","$206,333,165 ","$232,323,678 "
268,2012,Les Misérables,"$438,420,442 ","$148,809,770 ","$289,610,672 "
269,2017,The Greatest Showman,"$437,539,181 ","$174,340,174 ","$263,199,007 "
270,2001,The Mummy Returns,"$435,040,395 ","$202,007,640 ","$233,032,755 "
271,2019,The Secret Life of Pets 2,"$434,441,844 ","$158,874,395 ","$275,567,449 "
272,2003,Terminator 3: Rise of the Machines,"$433,058,296 ","$150,358,296 ","$282,700,000 "
273,1990,Pretty Woman,"$432,566,361 ","$178,406,268 ","$254,160,093 "
274,2018,A Star is Born,"$432,415,010 ","$215,288,866 ","$217,126,144 "
275,2015,Terminator: Genisys,"$432,150,894 ","$89,760,956 ","$342,389,938 "
276,2019,Pokémon: Detective Pikachu,"$432,142,736 ","$144,105,346 ","$288,037,390 "
277,2002,Die Another Day,"$431,942,139 ","$160,942,139 ","$271,000,000 "
278,2010,The King’s Speech,"$430,821,168 ","$138,797,449 ","$292,023,719 "
279,1973,The Exorcist,"$428,214,478 ","$230,347,346 ","$197,867,132 "
280,2018,Rampage,"$427,947,217 ","$101,028,233 ","$326,918,984 "
281,2003,The Matrix Revolutions,"$427,300,260 ","$139,270,910 ","$288,029,350 "
282,2000,Cast Away,"$427,230,516 ","$233,632,142 ","$193,598,374 "
283,2020,Bad Boys For Life,"$424,526,356 ","$204,417,855 ","$220,108,501 "
284,1990,Dances with Wolves,"$424,208,842 ","$184,208,842 ","$240,000,000 "
285,2010,The Chronicles of Narnia: The Voyage …,"$418,186,950 ","$104,386,950 ","$313,800,000 "
286,2019,Zhongguo jizhang,"$417,654,292 ","$706,572 ","$416,947,720 "
287,2008,The Chronicles of Narnia: Prince Caspian,"$417,341,288 ","$141,621,490 ","$275,719,798 "
288,2013,The Wolverine,"$416,456,852 ","$132,556,852 ","$283,900,000 "
289,1999,The Mummy,"$416,385,488 ","$155,385,488 ","$261,000,000 "
290,2016,Jason Bourne,"$416,168,316 ","$162,192,920 ","$253,975,396 "
291,2008,Sex and the City,"$415,247,258 ","$152,647,258 ","$262,600,000 "
292,1988,Rain Man,"$412,800,000 ","$172,825,435 ","$239,974,565 "
293,1989,Batman,"$411,348,924 ","$251,188,924 ","$160,160,000 "
294,2013,Pacific Rim,"$411,002,906 ","$101,802,906 ","$309,200,000 "
295,1992,The Bodyguard,"$410,945,720 ","$121,945,720 ","$289,000,000 "
296,2017,The Mummy,"$409,953,905 ","$80,101,125 ","$329,852,780 "
297,2017,Kingsman: The Golden Circle,"$408,803,696 ","$100,234,838 ","$308,568,858 "
298,2002,Signs,"$408,250,578 ","$227,969,295 ","$180,281,283 "
299,2003,X-Men 2,"$406,348,630 ","$214,949,694 ","$191,398,936 "
300,2008,The Mummy: Tomb of the Dragon Emperor,"$405,760,225 ","$102,491,776 ","$303,268,449 "
301,2015,Kingsman: The Secret Service,"$404,561,724 ","$128,261,724 ","$276,300,000 "
302,2012,Prometheus,"$402,448,265 ","$126,477,084 ","$275,971,181 "
303,2008,Twilight,"$402,280,159 ","$192,769,854 ","$209,510,305 "
304,2009,Night at the Museum: Battle of the Sm…,"$402,231,063 ","$177,243,721 ","$224,987,342 "
305,2016,Ice Age: Collision Course,"$402,156,682 ","$64,063,008 ","$338,093,674 "
306,2019,Alita: Battle Angel,"$401,779,739 ","$85,710,210 ","$316,069,529 "
307,2012,Snow White and the Huntsman,"$401,021,746 ","$155,136,755 ","$245,884,991 "
308,2010,Tron: Legacy,"$400,062,763 ","$172,062,763 ","$228,000,000 "
309,2006,Mission: Impossible III,"$399,387,745 ","$133,501,348 ","$265,886,397 "
310,2018,Solo: A Star Wars Story,"$393,151,347 ","$213,767,512 ","$179,383,835 "
311,2018,Mamma Mia: Here We Go Again!,"$392,879,661 ","$120,634,935 ","$272,244,726 "
312,2006,Superman Returns,"$391,081,192 ","$200,120,000 ","$190,961,192 "
313,1939,Gone with the Wind,"$390,525,192 ","$198,680,470 ","$191,844,722 "
314,1991,Robin Hood: Prince of Thieves,"$390,500,000 ","$165,493,908 ","$225,006,092 "
315,2013,The Wolf of Wall Street,"$389,918,903 ","$116,949,183 ","$272,969,720 "
316,1978,Grease,"$387,483,897 ","$181,813,770 ","$205,670,127 "
317,2009,Star Trek,"$386,839,614 ","$257,730,019 ","$129,109,595 "
318,2020,Wo He Wo De Jia Xiang,"$386,150,239 ",,"$386,150,239 "
319,2002,Ice Age,"$386,116,343 ","$176,387,405 ","$209,728,938 "
320,2015,Home,"$385,997,896 ","$177,397,510 ","$208,600,386 "
321,1985,Back to the Future,"$385,521,815 ","$212,259,762 ","$173,262,053 "
322,2006,Happy Feet,"$385,000,317 ","$198,000,317 ","$187,000,000 "
323,2016,Independence Day: Resurgence,"$384,169,424 ","$103,144,286 ","$281,025,138 "
324,2008,Slumdog Millionaire,"$383,825,427 ","$141,330,703 ","$242,494,724 "
325,2017,Cars 3,"$383,541,369 ","$152,901,115 ","$230,640,254 "
326,2019,Godzilla: King of the Monsters,"$383,299,915 ","$110,500,138 ","$272,799,777 "
327,2007,Live Free or Die Hard,"$382,288,147 ","$134,529,403 ","$247,758,744 "
328,2009,Monsters vs. Aliens,"$381,687,380 ","$198,351,526 ","$183,335,854 "
329,2017,Fifty Shades Darker,"$381,367,046 ","$114,434,010 ","$266,933,036 "
330,2012,Hotel Transylvania,"$378,505,812 ","$148,313,048 ","$230,192,764 "
331,2012,Taken 2,"$377,807,404 ","$139,854,287 ","$237,953,117 "
332,2019,Once Upon a Time…in Hollywood,"$376,158,396 ","$142,502,728 ","$233,655,668 "
333,1998,Godzilla,"$376,000,000 ","$136,314,294 ","$239,685,706 "
334,2013,G.I. Joe: Retaliation,"$375,740,705 ","$122,523,060 ","$253,217,645 "
335,2018,Spider-Man: Into The Spider-Verse 3D,"$375,040,414 ","$190,173,195 ","$184,867,219 "
336,2002,My Big Fat Greek Wedding,"$374,890,034 ","$241,438,208 ","$133,451,826 "
337,2009,X-Men Origins: Wolverine,"$374,825,760 ","$179,883,157 ","$194,942,603 "
338,2000,What Women Want,"$374,105,123 ","$182,805,123 ","$191,300,000 "
339,2011,The Adventures of Tintin,"$373,993,951 ","$77,591,831 ","$296,402,120 "
340,2018,Fifty Shades Freed,"$371,985,018 ","$100,407,760 ","$271,577,258 "
341,2004,Shark Tale,"$371,741,123 ","$161,412,000 ","$210,329,123 "
342,2011,Captain America: The First Avenger,"$370,569,776 ","$176,654,505 ","$193,915,271 "
343,2014,Edge of Tomorrow,"$370,541,256 ","$100,206,256 ","$270,335,000 "
344,1998,There's Something About Mary,"$369,884,651 ","$176,484,651 ","$193,400,000 "
345,2014,Gone Girl,"$368,567,189 ","$167,767,189 ","$200,800,000 "
346,2015,Mad Max: Fury Road,"$368,243,636 ","$153,636,354 ","$214,607,282 "
347,1981,Raiders of the Lost Ark,"$367,452,079 ","$225,686,079 ","$141,766,000 "
348,2007,The Golden Compass,"$367,262,558 ","$70,107,728 ","$297,154,830 "
349,2018,Xi Hong Shi Shou Fu,"$366,961,920 ",,"$366,961,920 "
350,2014,Penguins of Madagascar,"$366,942,531 ","$83,350,911 ","$283,591,620 "
351,2005,Hitch,"$366,784,257 ","$177,784,257 ","$189,000,000 "
352,2019,1917,"$366,672,058 ","$159,227,644 ","$207,444,414 "
353,1995,Die Hard: With a Vengeance,"$366,101,666 ","$100,012,499 ","$266,089,167 "
354,2001,Jurassic Park III,"$365,900,000 ","$181,166,115 ","$184,733,885 "
355,2009,Terminator Salvation,"$365,491,792 ","$125,322,469 ","$240,169,323 "
356,1994,True Lies,"$365,300,000 ","$146,282,411 ","$219,017,589 "
357,1995,Toy Story,"$364,543,951 ","$191,796,233 ","$172,747,718 "
358,1999,Notting Hill,"$363,718,196 ","$116,089,678 ","$247,628,518 "
359,2019,Shazam!,"$363,664,533 ","$140,371,656 ","$223,292,877 "
360,2018,The Nun,"$363,391,647 ","$117,450,119 ","$245,941,528 "
361,1998,A Bug's Life,"$363,095,319 ","$162,798,565 ","$200,296,754 "
362,2009,Fast & Furious,"$363,064,265 ","$155,064,265 ","$208,000,000 "
363,2004,Ocean's Twelve,"$362,989,076 ","$125,531,634 ","$237,457,442 "
364,2007,Alvin and the Chipmunks,"$362,605,033 ","$217,326,974 ","$145,278,059 "
365,2001,Planet of the Apes,"$362,211,740 ","$180,011,740 ","$182,200,000 "
366,2013,The Hangover 3,"$362,000,072 ","$112,200,072 ","$249,800,000 "
367,1999,The World is Not Enough,"$361,730,660 ","$126,930,660 ","$234,800,000 "
368,2018,Zhuo yao ji 2,"$361,683,815 ","$706,153 ","$360,977,662 "
369,2015,Zhuo yao ji,"$359,295,591 ","$32,766 ","$359,262,825 "
370,2005,Batman Begins,"$359,004,502 ","$205,343,774 ","$153,660,728 "
371,1992,Home Alone 2: Lost in New York,"$358,994,850 ","$173,585,516 ","$185,409,334 "
372,2002,Minority Report,"$358,824,714 ","$132,024,714 ","$226,800,000 "
373,1994,The Flintstones,"$358,500,000 ","$130,531,208 ","$227,968,792 "
374,2016,Kimi no na wa,"$358,331,458 ","$5,000,181 ","$353,331,277 "
375,1986,Top Gun,"$356,799,634 ","$179,800,601 ","$176,999,033 "
376,1995,Goldeneye,"$356,429,941 ","$106,429,941 ","$250,000,000 "
377,1999,American Beauty,"$356,258,047 ","$130,058,047 ","$226,200,000 "
378,2000,Dinosaur,"$356,148,063 ","$137,748,063 ","$218,400,000 "
379,2002,Catch Me if You Can,"$355,612,291 ","$164,606,800 ","$191,005,491 "
380,2011,X-Men: First Class,"$355,408,305 ","$146,408,305 ","$209,000,000 "
381,2014,Night at the Museum: Secret of the Tomb,"$353,756,621 ","$113,746,621 ","$240,010,000 "
382,1993,The Fugitive,"$353,715,317 ","$183,875,760 ","$169,839,557 "
383,2013,The Great Gatsby,"$353,640,419 ","$144,840,419 ","$208,800,000 "
384,2019,Dumbo,"$353,166,307 ","$114,766,307 ","$238,400,000 "
385,2014,Noah,"$352,831,065 ","$101,200,044 ","$251,631,021 "
386,1992,Basic Instinct,"$352,700,000 ","$117,727,224 ","$234,972,776 "
387,2016,The Angry Birds Movie,"$352,327,887 ","$107,509,366 ","$244,818,521 "
388,2010,The Karate Kid,"$351,774,938 ","$176,591,618 ","$175,183,320 "
389,2017,Murder on the Orient Express,"$351,767,147 ","$102,826,543 ","$248,940,604 "
390,1994,The Mask,"$351,620,129 ","$119,920,129 ","$231,700,000 "
391,1988,Who Framed Roger Rabbit?,"$351,500,000 ","$154,112,492 ","$197,387,508 "
392,2012,Doctor Seuss' The Lorax,"$350,976,753 ","$214,030,500 ","$136,946,253 "
393,2001,Hannibal,"$350,100,280 ","$165,092,266 ","$185,008,014 "
394,1998,Deep Impact,"$349,464,664 ","$140,464,664 ","$209,000,000 "
395,2018,Mary Poppins Returns,"$349,104,919 ","$171,958,438 ","$177,146,481 "
396,2011,Alvin and the Chipmunks: Chipwrecked,"$349,088,523 ","$133,107,389 ","$215,981,134 "
397,2016,The Legend of Tarzan,"$348,902,025 ","$126,643,061 ","$222,258,964 "
398,2004,"I, Robot","$348,629,585 ","$144,801,023 ","$203,828,562 "
399,2013,The Smurfs 2,"$348,547,523 ","$71,017,784 ","$277,529,739 "
400,2014,The Maze Runner,"$348,319,861 ","$102,427,862 ","$245,891,999 "
401,2001,Rush Hour 2,"$347,425,832 ","$226,164,286 ","$121,261,546 "
402,1995,Pocahontas,"$347,100,000 ","$141,579,773 ","$205,520,227 "
403,2018,Peter Rabbit,"$345,155,440 ","$115,234,093 ","$229,921,347 "
404,2000,How the Grinch Stole Christmas,"$345,141,403 ","$260,044,825 ","$85,096,578 "
405,2017,xXx: Return of Xander Cage,"$345,033,359 ","$44,898,413 ","$300,134,946 "
406,2006,Over the Hedge,"$343,397,247 ","$155,019,340 ","$188,377,907 "
407,2016,Trolls,"$343,242,613 ","$153,707,064 ","$189,535,549 "
408,2013,Now You See Me,"$342,769,200 ","$117,723,989 ","$225,045,211 "
409,2008,Wanted,"$342,416,460 ","$134,508,551 ","$207,907,909 "
410,2020,Tenet,"$341,600,000 ","$52,500,000 ","$289,100,000 "
411,1977,Close Encounters of the Third Kind,"$340,800,479 ","$169,100,479 ","$171,700,000 "
412,2007,Enchanted,"$340,384,141 ","$127,706,877 ","$212,677,264 "
413,1997,Tomorrow Never Dies,"$339,504,276 ","$125,304,276 ","$214,200,000 "
414,1995,Batman Forever,"$336,529,144 ","$184,031,112 ","$152,498,032 "
415,2010,Prince of Persia: Sands of Time,"$336,359,676 ","$90,759,676 ","$245,600,000 "
416,1996,The Rock,"$336,069,511 ","$134,069,511 ","$202,000,000 "
417,1995,Apollo 13,"$335,802,271 ","$173,772,767 ","$162,029,504 "
418,2016,Star Trek Beyond,"$335,802,233 ","$158,848,340 ","$176,953,893 "
419,2018,A Quiet Place,"$335,205,231 ","$188,024,361 ","$147,180,870 "
420,2017,Never Say Die,"$334,536,622 ",,"$334,536,622 "
421,2016,The Great Wall,"$334,486,852 ","$45,157,105 ","$289,329,747 "
422,2015,The Good Dinosaur,"$333,771,037 ","$123,087,120 ","$210,683,917 "
423,2005,Fantastic Four,"$333,132,750 ","$154,696,080 ","$178,436,670 "
424,1984,Indiana Jones and the Temple of Doom,"$333,080,271 ","$179,880,271 ","$153,200,000 "
425,1989,Back to the Future Part II,"$331,971,881 ","$118,450,002 ","$213,521,879 "
426,2014,22 Jump Street,"$331,333,876 ","$191,719,337 ","$139,614,539 "
427,2004,National Treasure,"$331,323,410 ","$173,005,002 ","$158,318,408 "
428,2010,Black Swan,"$331,266,710 ","$106,954,678 ","$224,312,032 "
429,2014,300: Rise of an Empire,"$330,780,051 ","$106,580,051 ","$224,200,000 "
430,2000,Meet the Parents,"$330,425,040 ","$166,225,040 ","$164,200,000 "
431,2008,The Curious Case of Benjamin Button,"$329,631,958 ","$127,509,326 ","$202,122,632 "
432,2000,The Perfect Storm,"$328,711,434 ","$182,618,434 ","$146,093,000 "
433,2016,Now You See Me 2,"$328,325,007 ","$65,075,540 ","$263,249,467 "
434,1986,Crocodile Dundee,"$328,203,506 ","$174,803,506 ","$153,400,000 "
435,1995,Se7en,"$328,125,643 ","$100,125,643 ","$228,000,000 "
436,2008,Bolt,"$328,015,029 ","$114,053,579 ","$213,961,450 "
437,2015,Taken 3,"$327,656,424 ","$89,256,424 ","$238,400,000 "
438,2019,Feng Kuang De Wai Xing Ren,"$326,150,303 ",,"$326,150,303 "
439,2006,The Devil Wears Prada,"$326,073,155 ","$124,740,460 ","$201,332,695 "
440,2019,John Wick: Chapter 3 — Parabellum,"$325,786,822 ","$171,016,727 ","$154,770,095 "
441,1996,The Hunchback of Notre Dame,"$325,500,000 ","$100,138,851 ","$225,361,149 "
442,2010,Robin Hood,"$322,459,006 ","$105,487,148 ","$216,971,858 "
443,1993,Schindler’s List,"$322,197,132 ","$96,898,818 ","$225,298,314 "
444,2010,Megamind,"$321,887,208 ","$148,415,853 ","$173,471,355 "
445,1987,Fatal Attraction,"$320,100,000 ","$156,645,693 ","$163,454,307 "
446,2018,Green Book,"$320,029,388 ","$85,080,171 ","$234,949,217 "
447,2010,The Last Airbender,"$319,713,881 ","$131,772,187 ","$187,941,694 "
448,1992,Lethal Weapon 3,"$319,700,000 ","$144,731,527 ","$174,968,473 "
449,2012,Journey 2: The Mysterious Island,"$318,146,162 ","$103,860,290 ","$214,285,872 "
450,2013,The Conjuring,"$317,872,975 ","$137,400,141 ","$180,472,834 "
451,2001,A Beautiful Mind,"$317,668,058 ","$170,708,996 ","$146,959,062 "
452,2009,Inglourious Basterds,"$316,915,264 ","$120,774,594 ","$196,140,670 "
453,1984,Beverly Hills Cop,"$316,300,000 ","$234,760,478 ","$81,539,522 "
454,2009,Disney’s A Christmas Carol,"$315,709,697 ","$137,855,863 ","$177,853,834 "
455,1997,Air Force One,"$315,268,353 ","$172,956,409 ","$142,311,944 "
456,2009,The Proposal,"$314,709,717 ","$163,958,031 ","$150,751,686 "
457,1997,As Good as it Gets,"$314,111,923 ","$148,478,011 ","$165,633,912 "
458,2016,Resident Evil: The Final Chapter,"$314,101,190 ","$26,844,692 ","$287,256,498 "
459,2012,Battleship,"$313,477,717 ","$65,233,400 ","$248,244,317 "
460,2017,Wonder,"$312,755,215 ","$132,422,809 ","$180,332,406 "
461,1999,Austin Powers: The Spy Who Shagged Me,"$312,383,487 ","$206,040,085 ","$106,343,402 "
462,2004,The Polar Express,"$312,183,437 ","$188,042,855 ","$124,140,582 "
463,2012,The Expendables 2,"$311,979,256 ","$85,028,192 ","$226,951,064 "
464,2007,Ocean's Thirteen,"$311,744,465 ","$117,144,465 ","$194,600,000 "
465,2015,The SpongeBob Movie: Sponge Out of Water,"$311,013,181 ","$162,994,032 ","$148,019,149 "
466,2004,The Bourne Supremacy,"$311,001,124 ","$176,087,450 ","$134,913,674 "
467,2019,Knives Out,"$310,712,638 ","$165,364,060 ","$145,348,578 "
468,2010,Little Fockers,"$310,650,574 ","$148,438,600 ","$162,211,974 "
469,2017,The Lego Batman Movie,"$310,570,560 ","$175,750,384 ","$134,820,176 "
470,2015,Maze Runner: The Scorch Trials,"$310,566,162 ","$81,697,192 ","$228,868,970 "
471,2016,The Conjuring 2: The Enfield Poltergeist,"$310,463,271 ","$102,470,008 ","$207,993,263 "
472,1999,Runaway Bride,"$310,138,178 ","$152,257,509 ","$157,880,669 "
473,2005,Chicken Little,"$310,043,823 ","$135,386,665 ","$174,657,158 "
474,1996,Ransom,"$308,700,000 ","$136,492,681 ","$172,207,319 "
475,2017,Qian Ren 3: Yan Zhi Da Zuo Zhan,"$307,547,824 ","$837,791 ","$306,710,033 "
476,2006,The Pursuit of Happyness,"$307,311,093 ","$162,586,036 ","$144,725,057 "
477,2014,The Fault in Our Stars,"$307,166,834 ","$124,872,350 ","$182,294,484 "
478,2012,Rise of the Guardians,"$306,900,902 ","$103,412,758 ","$203,488,144 "
479,2002,Chicago,"$306,770,545 ","$170,687,518 ","$136,083,027 "
480,2009,The Blind Side,"$305,705,794 ","$255,959,475 ","$49,746,319 "
481,2017,Annabelle: Creation,"$305,384,865 ","$102,092,201 ","$203,292,664 "
482,2012,Wrath of the Titans,"$305,270,083 ","$83,670,083 ","$221,600,000 "
483,2016,Dangal,"$305,149,461 ","$12,391,761 ","$292,757,700 "
484,2020,Sonic The Hedgehog,"$305,039,443 ","$146,066,470 ","$158,972,973 "
485,2018,Skyscraper,"$304,868,961 ","$68,420,120 ","$236,448,841 "
486,2013,A Good Day to Die Hard,"$304,249,198 ","$67,349,198 ","$236,900,000 "
487,1996,101 Dalmatians,"$304,200,000 ","$136,189,294 ","$168,010,706 "
488,1998,Mulan,"$303,500,000 ","$120,620,254 ","$182,879,746 "
489,1997,Liar Liar,"$302,710,615 ","$181,410,615 ","$121,300,000 "
490,2009,G.I. Joe: The Rise of Cobra,"$302,469,017 ","$150,201,498 ","$152,267,519 "
491,2016,Passengers,"$302,239,672 ","$100,014,699 ","$202,224,973 "
492,1991,Hook,"$300,854,823 ","$119,654,823 ","$181,200,000 "
493,1985,Rambo: First Blood Part II,"$300,400,000 ","$150,415,432 ","$149,984,568 "
494,1985,Rocky IV,"$300,373,716 ","$127,873,716 ","$172,500,000 "
495,1978,Superman,"$300,200,000 ","$134,218,018 ","$165,981,982 "
496,2004,Van Helsing,"$300,150,546 ","$120,150,546 ","$180,000,000 "
497,2008,Horton Hears a Who,"$299,477,886 ","$154,529,439 ","$144,948,447 "
498,2010,Shutter Island,"$299,461,782 ","$128,012,934 ","$171,448,848 "
499,1997,My Best Friend's Wedding,"$298,923,419 ","$126,813,153 ","$172,110,266 "
500,1999,Stuart Little,"$298,815,224 ","$140,015,224 ","$158,800,000 "
501,2018,Ocean’s 8,"$297,718,711 ","$140,218,711 ","$157,500,000 "
502,1989,Look Who's Talking,"$297,100,000 ","$140,088,813 ","$157,011,187 "
503,2000,X-Men,"$296,872,367 ","$157,299,717 ","$139,572,650 "
504,2002,Austin Powers in Goldmember,"$296,338,663 ","$213,117,789 ","$83,220,874 "
505,2016,Miss Peregrine’s Home for Peculiar Ch…,"$295,986,876 ","$87,242,834 ","$208,744,042 "
506,2010,Resident Evil: Afterlife,"$295,874,190 ","$60,128,566 ","$235,745,624 "
507,1984,Ghostbusters,"$295,212,467 ","$242,212,467 ","$53,000,000 "
508,2015,The Divergent Series: Insurgent,"$295,075,882 ","$130,179,072 ","$164,896,810 "
509,2010,Sex and the City 2,"$294,680,778 ","$95,347,692 ","$199,333,086 "
510,1998,Doctor Dolittle,"$294,156,605 ","$144,156,605 ","$150,000,000 "
511,2009,G-Force,"$292,817,841 ","$119,436,770 ","$173,381,071 "
512,2018,Pacific Rim: Uprising,"$290,930,148 ","$59,874,525 ","$231,055,623 "
513,1999,The Green Mile,"$290,701,374 ","$136,801,374 ","$153,900,000 "
514,2010,Salt,"$290,650,494 ","$118,311,368 ","$172,339,126 "
515,2017,Ferdinand,"$289,838,913 ","$84,410,380 ","$205,428,533 "
516,2006,The Departed,"$289,660,619 ","$132,384,315 ","$157,276,304 "
517,2011,Bridesmaids,"$289,632,023 ","$169,211,718 ","$120,420,305 "
518,2007,Fantastic Four: Rise of the Silver Su…,"$289,480,691 ","$131,921,738 ","$157,558,953 "
519,1988,Coming to America,"$288,800,000 ","$128,152,301 ","$160,647,699 "
520,2000,What Lies Beneath,"$288,693,989 ","$155,464,351 ","$133,229,638 "
521,2013,Oblivion,"$287,916,633 ","$89,107,235 ","$198,809,398 "
522,2015,Pitch Perfect 2,"$287,625,468 ","$184,296,230 ","$103,329,238 "
523,2007,Bee Movie,"$287,594,577 ","$126,631,277 ","$160,963,300 "
524,2013,Turbo,"$286,896,578 ","$83,028,130 ","$203,868,448 "
525,2001,American Pie 2,"$286,500,000 ","$145,096,820 ","$141,403,180 "
526,1965,The Sound of Music,"$286,214,195 ","$163,214,286 ","$122,999,909 "
527,2013,Elysium,"$286,192,091 ","$93,050,117 ","$193,141,974 "
528,1998,Lethal Weapon 4,"$285,400,000 ","$130,444,603 ","$154,955,397 "
529,2005,Wedding Crashers,"$283,218,368 ","$209,218,368 ","$74,000,000 "
530,1994,Speed,"$283,200,000 ","$121,248,145 ","$161,951,855 "
531,2012,John Carter,"$282,778,100 ","$73,058,679 ","$209,719,421 "
532,1977,Saturday Night Fever,"$282,400,000 ","$139,486,124 ","$142,913,876 "
533,1995,Casper,"$282,300,000 ","$100,328,194 ","$181,971,806 "
534,2001,Bridget Jones's Diary,"$281,527,158 ","$71,500,556 ","$210,026,602 "
535,2012,The Bourne Legacy,"$280,355,920 ","$113,203,870 ","$167,152,050 "
536,1998,Shakespeare in Love,"$279,500,000 ","$100,317,794 ","$179,182,206 "
537,2017,Split,"$278,964,806 ","$138,141,585 ","$140,823,221 "
538,2010,The Tourist,"$278,731,369 ","$67,631,157 ","$211,100,212 "
539,2000,Scary Movie,"$277,200,000 ","$157,019,771 ","$120,180,229 "
540,2016,Alice Through the Looking Glass,"$276,928,112 ","$77,042,381 ","$199,885,731 "
541,1987,Beverly Hills Cop II,"$276,665,036 ","$153,665,036 ","$123,000,000 "
542,2002,Scooby-Doo,"$276,294,164 ","$153,294,164 ","$123,000,000 "
543,2014,Divergent,"$276,014,965 ","$150,947,895 ","$125,067,070 "
544,1991,The Silence of the Lambs,"$275,726,716 ","$130,726,716 ","$145,000,000 "
545,2008,Gran Torino,"$274,543,085 ","$148,095,302 ","$126,447,783 "
546,2008,High School Musical 3: Senior Year,"$274,392,880 ","$90,559,416 ","$183,833,464 "
547,2013,Cloudy with a Chance of Meatballs 2,"$274,392,649 ","$119,793,567 ","$154,599,082 "
548,1996,The Nutty Professor,"$273,814,019 ","$128,814,019 ","$145,000,000 "
549,1996,Jerry Maguire,"$273,552,592 ","$153,952,592 ","$119,600,000 "
550,2018,Tomb Raider,"$273,477,501 ","$58,250,803 ","$215,226,698 "
551,2012,Lincoln,"$273,346,281 ","$182,207,973 ","$91,138,308 "
552,2001,Lara Croft: Tomb Raider,"$273,330,185 ","$131,144,183 ","$142,186,002 "
553,2003,Bad Boys II,"$273,271,982 ","$138,540,870 ","$134,731,112 "
